id_day,date,description,death_date,description_lower
1,2024-01-01,"Na Oitava do Natal de Nosso Senhor Jesus Cristo e dia da sua Circuncisão, a solenidade de Santa Maria, Mãe de Deus , que no Concílio de Éfeso os Padres aclamaram como Theotókos, porque nela o Verbo Se fez carne e habitou entre os homens o Filho de Deus, príncipe da paz, a quem foi dado o Nome que está acima de todos os nomes.",,"na oitava do natal de nosso senhor jesus cristo e dia da sua circuncisão, a solenidade de santa maria, mãe de deus , que no concílio de éfeso os padres aclamaram como theotókos, porque nela o verbo se fez carne e habitou entre os homens o filho de deus, príncipe da paz, a quem foi dado o nome que está acima de todos os nomes."
2,2024-01-01,"Em Cesareia da Capadócia, na Turquia, o sepultamento de São Basílio , bispo, cuja memória se celebra amanhã.",(† c. 379),"em cesareia da capadócia, na turquia, o sepultamento de são basílio , bispo, cuja memória se celebra amanhã."
3,2024-01-01,"Na Campânia e nos Abruzos, regiões da Itália, a comemoração de São Justino , que é celebrado como bispo eminente pelo seu zelo e pela defesa dos cristãos.",(c. s. IV),"na campânia e nos abruzos, regiões da itália, a comemoração de são justino , que é celebrado como bispo eminente pelo seu zelo e pela defesa dos cristãos."
4,2024-01-01,"Em Roma, Santo Almáquio , que, opondo-se às lutas dos gladiadores, por ordem de Alípio, prefeito da Cidade, foi morto pelos próprios gladiadores e contado entre os mártires vencedores.",(† 391),"em roma, santo almáquio , que, opondo-se às lutas dos gladiadores, por ordem de alípio, prefeito da cidade, foi morto pelos próprios gladiadores e contado entre os mártires vencedores."
5,2024-01-01,"No monte Jura, na região da Gália Lionense, actualmente na França, a comemoração de Santo Eugendo , abade do mosteiro de Condat, que desde a adolescência viveu no mosteiro, onde promoveu com grande vigor a vida comum dos monges.",(† 516),"no monte jura, na região da gália lionense, actualmente na frança, a comemoração de santo eugendo , abade do mosteiro de condat, que desde a adolescência viveu no mosteiro, onde promoveu com grande vigor a vida comum dos monges."
6,2024-01-01,"Em Ruspas, cidade da Bizacena, na actual Tunísia, São Fulgêncio , bispo, que, depois de ter sido procurador deste território, abraçou a vida monástica e foi eleito bispo. No tempo da perseguição dos Vândalos, por causa do seu zelo pela fé católica e eminente doutrina, sofreu muito da parte dos arianos e duas vezes foi desterrado pelo rei Trasimundo para a Sardenha. Tendo regressado à sua Igreja, dedicou o resto da sua vida a fortalecer os seus fiéis com a palavra da graça e da verdade.",(† 533),"em ruspas, cidade da bizacena, na actual tunísia, são fulgêncio , bispo, que, depois de ter sido procurador deste território, abraçou a vida monástica e foi eleito bispo. no tempo da perseguição dos vândalos, por causa do seu zelo pela fé católica e eminente doutrina, sofreu muito da parte dos arianos e duas vezes foi desterrado pelo rei trasimundo para a sardenha. tendo regressado à sua igreja, dedicou o resto da sua vida a fortalecer os seus fiéis com a palavra da graça e da verdade."
7,2024-01-01,"Em Vienne, na Borgonha, na actual França, São Claro , abade do mosteiro de São Marcelo, que deu aos monges exemplo insigne da perfeição religiosa.",(† 660/670),"em vienne, na borgonha, na actual frança, são claro , abade do mosteiro de são marcelo, que deu aos monges exemplo insigne da perfeição religiosa."
8,2024-01-01,"Em Troyes, cidade da Nêustria, também na actual França, São Frodoberto , fundador e primeiro abade do mosteiro de Moutier-la-Celle.",(† c. 667),"em troyes, cidade da nêustria, também na actual frança, são frodoberto , fundador e primeiro abade do mosteiro de moutier-la-celle."
9,2024-01-01,"No mosteiro de Fécamp, na Normandia, igualmente na actual França, o passamento de São Guilherme , abade de São Benigno de Dijon, que nos últimos tempos da sua vida orientou com firmeza e prudência muitos monges, distribuídos em quarenta mosteiros.",(† 1031),"no mosteiro de fécamp, na normandia, igualmente na actual frança, o passamento de são guilherme , abade de são benigno de dijon, que nos últimos tempos da sua vida orientou com firmeza e prudência muitos monges, distribuídos em quarenta mosteiros."
10,2024-01-01,"Próximo de Sauvigny, cidade da Borgonha, também na actual França, o passamento de Santo Odilo , abade de Cluny, que foi sempre rigoroso para consigo mas benigno e misericordioso para com os outros, pacificou em nome de Deus os povos beligerantes e, em tempo de fome, socorreu com todos os meios os necessitados. Foi o primeiro a ordenar que se celebrasse nos seus mosteiros a comemoração de Todos os Fiéis Defuntos no dia seguinte à Solenidade de Todos os Santos.",(† 1049),"próximo de sauvigny, cidade da borgonha, também na actual frança, o passamento de santo odilo , abade de cluny, que foi sempre rigoroso para consigo mas benigno e misericordioso para com os outros, pacificou em nome de deus os povos beligerantes e, em tempo de fome, socorreu com todos os meios os necessitados. foi o primeiro a ordenar que se celebrasse nos seus mosteiros a comemoração de todos os fiéis defuntos no dia seguinte à solenidade de todos os santos."
