date,description,death_date
2024-01-01,"Na Oitava do Natal de Nosso Senhor Jesus Cristo e dia da sua Circuncisão, a solenidade de Santa Maria, Mãe de Deus , que no Concílio de Éfeso os Padres aclamaram como Theotókos, porque nela o Verbo Se fez carne e habitou entre os homens o Filho de Deus, príncipe da paz, a quem foi dado o Nome que está acima de todos os nomes.",
2024-01-01,"Em Cesareia da Capadócia, hoje Kayseri, na Turquia, o sepultamento de São Basílio , bispo, cuja memória se celebra amanhã.",(† c. 379)
2024-01-01,"Na Campânia e nos Abruzos, regiões da Itália, a comemoração de São Justino , que é celebrado como bispo eminente pelo seu zelo e pela defesa dos cristãos.",(c. s. IV)
2024-01-01,"Em Roma, Santo Almáquio , que, opondo-se às lutas dos gladiadores, por ordem de Alípio, prefeito da Cidade, foi morto pelos próprios gladiadores e contado entre os mártires vencedores.",(† 391)
2024-01-01,"No monte Jura, na região da Gália Lionense, actualmente na França, a comemoração de Santo Eugendo , abade do mosteiro de Condat, que desde a adolescência viveu no mosteiro, onde promoveu com grande vigor a vida comum dos monges.",(† 516)
2024-01-01,"Em Ruspas, cidade da Bizacena, na actual Tunísia, São Fulgêncio , bispo, que, depois de ter sido procurador deste território, abraçou a vida monástica e foi eleito bispo. No tempo da perseguição dos Vândalos, por causa do seu zelo pela fé católica e eminente doutrina, sofreu muito da parte dos arianos e duas vezes foi desterrado pelo rei Trasimundo para a Sardenha. Tendo regressado à sua Igreja, dedicou o resto da sua vida a fortalecer os seus fiéis com a palavra da graça e da verdade.",(† 533)
2024-01-01,"Em Vienne, na Borgonha, na actual França, São Claro , abade do mosteiro de São Marcelo, que deu aos monges exemplo insigne da perfeição religiosa.",(† 660/670)
2024-01-01,"Em Troyes, cidade da Nêustria, também na actual França, São Frodoberto , fundador e primeiro abade do mosteiro de Moutier-la-Celle.",(† c. 667)
2024-01-01,"No mosteiro de Fécamp, na Normandia, igualmente na actual França, o passamento de São Guilherme , abade de São Benigno de Dijon, que nos últimos tempos da sua vida orientou com firmeza e prudência muitos monges, distribuídos em quarenta mosteiros.",(† 1031)
2024-01-01,"Próximo de Sauvigny, cidade da Borgonha, também na actual França, o passamento de Santo Odilo , abade de Cluny, que foi sempre rigoroso para consigo mas benigno e misericordioso para com os outros, pacificou em nome de Deus os povos beligerantes e, em tempo de fome, socorreu com todos os meios os necessitados. Foi o primeiro a ordenar que se celebrasse nos seus mosteiros a comemoração de Todos os Fiéis Defuntos no dia seguinte à Solenidade de Todos os Santos.",(† 1049)
2024-01-01,"Em Jabloné, na Boémia, actualmente na Chéquia, Santa Zedislava , mãe de família, que prestou grande conforto aos aflitos.",(† 1252)
2024-01-01,"Em Gualdo Cattáneo, na Úmbria, actualmente região da Itália, o Beato Hugolino , que viveu como eremita.",(† s. XIV)
2024-01-01,"Em Roma, São José Maria Tomási , presbítero da Ordem dos Clérigos Regrantes Teatinos e cardeal, que, desejando ardentemente a renovação do culto divino, dedicou quase toda a sua vida à investigação e publicação dos antigos textos e documentos da sagrada Liturgia, assim como à catequese das crianças.",(† 1713)
2024-01-01,"Em Avrillé, próximo de Angers, na França, os irmãos beatos João e Renato Lego , presbíteros e mártires, que, durante a Revolução Francesa, por se terem recusado a prestar o infame juramento imposto ao clero, foram decapitados na guilhotina.",(† 1794)
2024-01-01,"Em Roma, São Vicente Maria Strámbi , bispo de Macerata e de Tolentino, da Congregação da Paixão, que governou fielmente as dioceses que lhe foram confiadas e, por perseverar na sua fidelidade ao Romano Pontífice, sofreu o exílio.",(† 1824)
2024-01-01,"Em Hasselt, próximo de Maastricht, na Bélgica, o Beato Valentim Paquay , presbítero da Ordem dos Frades Menores, que, na pregação, no ministério da reconciliação e na devoção ao rosário mariano, deu exemplo admirável de caridade cristã, alcançando, em seu espírito de humildade, a mais sublime santidade.",(† 1905)
2024-01-01,"Em L’viv, na Ucrânia, São Segismundo Gorazdowski , presbítero, natural da Polónia, que, animado pelo seu grande amor ao próximo, foi precursor das obras para a defesa da vida, fundou o Instituto das Irmãs de São José e se dedicou de todos os modos possíveis ao cuidado dos pobres e dos abandonados.",(† 1920)
2024-01-01,"Em Santander, cidade da Cantábria, no litoral da Espanha, o Beato André Gómez Sáez , presbítero da Sociedade Salesiana e mártir, que, durante a perseguição contra a fé, derramou o seu sangue por Cristo.",(† 1937)
2024-01-01,"Em Mirna, na Eslovénia, o Beato Luís Grozde , membro da Acção Católica e mártir, que foi assassinado em ódio à fé sob o regime comunista.",(† 1943)
2024-01-01,"No campo de concentração de Dachau, nas proximidades de Munique, cidade da Baviera, na Alemanha, o Beato Mariano Konopinski , presbítero e mártir, natural da Polónia, que, depois de suportar cruéis atrocidades dos médicos, morreu por Cristo Senhor.",(† 1943)
2024-01-02,"Memória dos santos Basílio Magno e Gregório de Nazianzo , bispos e doutores da Igreja. Basílio , bispo de Cesareia da Capadócia, hoje Nenizi, na Turquia, denominado Magno pela sua doutrina e sabedoria, ensinou aos monges a meditação da Sagrada Escritura e o trabalho na obediência e na caridade fraterna, ordenando a sua vida monástica segundo uma regra que ele próprio compôs. Instruiu os fiéis com excelentes obras escritas e dedicou-se ao cuidado pastoral dos pobres e dos enfermos. Morreu no primeiro dia de Janeiro. Gregório , seu amigo, bispo de Sásima, depois bispo de Constantinopla, finalmente bispo de Nazianzo, também na actual Turquia, defendeu com grande ardor a divindade do Verbo, pelo que foi também chamado o Teólogo. A Igreja alegra-se com a memória conjunta destes grandes santos doutores.",(† c. 379 e 389)
2024-01-02,"Em Roma, São Telésforo , papa, que, segundo o testemunho de Santo Ireneu, foi o séptimo bispo sucessor dos Apóstolos e sofreu glorioso martírio.",(† c. 136)
2024-01-02,"No território de Córi, a trinta milhas da cidade de Roma, os santos Argeu , Narciso e Marcelino , mártires.",(† s. IV)
2024-01-02,"Em Marselha, cidade da Provença, na actual França, São Teodoro , bispo, que, por se ter empenhado em estabelecer a disciplina eclesiástica, foi perseguido pelos reis Childeberto e Gontrano, que o mandaram três vezes para o exílio.",(† 594)
2024-01-02,"No mosteiro de Bóbbio, na Emília, actual Emília-Romanha, região da Itália, São Bladolfo , presbítero e monge, discípulo de São Columbano.",(† c. 630)
2024-01-02,"Em Milão, na Lombardia, também na Itália, São João Bom , bispo, que restaurou a sede episcopal desta cidade, precedentemente transferida para Génova por causa dos Lombardos. Pela sua fé e boas obras agradou a Deus e aos homens.",(† c. 660)
2024-01-02,"No território de Tulle, na Aquitânia, na actual França, São Vicenciano , eremita.",(† 672)
2024-01-02,"Em Limerick, na Irlanda, São Mainquino , que é venerado como bispo.",(† s. VII)
2024-01-02,"No mosteiro de Corbie, na Gália Ambianense, hoje território de Amiens, actualmente na França, Santo Adalardo , abade, que tudo fez para que cada um tivesse o suficiente, isto é, nem gozassem do supérfluo nem vivessem na penúria, mas todos se dedicassem diligentemente ao louvor de Deus.",(† 826)
2024-01-02,"Em Maurienne, na Sabóia, actualmente também na França, Santo Airaldo , bispo, que, tanto na solidão de Portes como na sede episcopal de Maurienne, associou à prudência e governo pastoral a austeridade e os costumes cartusianos.",(† 1146)
2024-01-02,"Em Troína, na Sicília, região da Itália, São Silvestre , abade, que seguiu a disciplina dos Padres orientais.",(† s. XII)
2024-01-02,"Em Forli, na Emília, hoje Emília-Romanha, na Itália, o Beato Marcolino Ammáni , presbítero da Ordem dos Pregadores, que, tanto no silêncio e na solidão, como no serviço dos pobres e no cuidado das crianças, passou toda a sua vida na mais humilde simplicidade.",(† 1397)
2024-01-02,"Em Soncino, na Lombardia, também na Itália, a Beata Estefânia Quinzáni , virgem, irmã da Ordem Terceira de São Domingos, que se dedicou intensamente à contemplação da paixão do Senhor e à formação cristã das jovens.",(† 1530)
2024-01-02,"Em Angers, na França, os beatos Guilherme Repin e Lourenço Batard , presbíteros e mártires, que, durante a Revolução Francesa, foram decapitados por causa da sua fidelidade à Igreja.",(† 1794)
2024-01-02,"Em Lachine, cidade do Quebec, província do Canadá, a Beata Maria Ana (Maria Ester) Soureau-Blondin , virgem, que, embora sem instrução na sua juventude, fundou a Congregação das Irmãs de Santa Ana para formação dos filhos dos agricultores, dando sempre nesse ministério um exemplo insigne de educadora da juventude.",(† 1890)
2024-01-03,"O Santíssimo Nome de Jesus , o único nome ao qual tudo o que há nos céus, na terra e nos abismos se ajoelha, para glória de Deus Pai.",
2024-01-03,"Em Roma, no cemitério de Calisto, junto à Via Ápia, o sepultamento de Santo Antero , papa, que, num breve pontificado, sucedeu ao mártir Ponciano.",(† 236)
2024-01-03,"Em Nicomédia, na Bitínia, hoje Izmit, na actual Turquia, os santos Teopento e Teonas , que sofreram o martírio durante a perseguição de Diocleciano.",(† 304)
2024-01-03,"Em Cesareia da Capadócia, hoje Kayseri, também na actual Turquia, o centurião São Górdio , mártir, que São Basílio louva como verdadeiro émulo do centurião que estava junto à Cruz, porque, durante a perseguição do imperador Diocleciano, professou a fé em Jesus, Filho de Deus.",(† 304)
2024-01-03,"Em Pádua, no actual Véneto, região da Itália, a comemoração de São Daniel , diácono e mártir.",(† c. 304)
2024-01-03,"Em Pário, no Helesponto, na actual Turquia, São Teógenes , mártir, que, recrutado como soldado no tempo do imperador Licínio, recusando-se a prestar o serviço militar por causa da sua fé cristã, foi encarcerado, torturado e finalmente afogado no mar.",(† 320)
2024-01-03,"Em Vienne, na Gália Lionense, na actual França, São Florêncio , bispo, que tomou parte no Concílio celebrado em Valence.",(† d. 377)
2024-01-03,"Em Paris, na Gália, actualmente também na França, o sepultamento de Santa Genoveva , virgem, natural de Nanterre, que, aos quinze anos, por conselho de São Germano, bispo de Auxerre, tomou o véu das virgens consagradas. Confortou os habitantes da cidade, aterrados pela incursão dos Hunos, e sustentou os seus concidadãos em tempo de fome.",(† c. 500)
2024-01-03,"Em Lentíni, na Sicília, região da Itália, São Luciano , bispo.",(† s. VIII/IX)
2024-01-03,"No mosteiro de Mannaman, no Kérala, estado da Índia, São Ciríaco Elias Chavara , presbítero, fundador da Congregação dos Irmãos Carmelitas de Maria Imaculada.",(† 1871)
2024-01-04,"Na Mésia, no território actualmente compreendido entre a Roménia e a Bulgária, os santos Hermes e Caio , mártires, o primeiro em Arcer, o segundo em Vidin.",(† s. IV)
2024-01-04,"Em Dijon, na Borgonha, actualmente na França, São Gregório , que, depois ter sido conde na região de Autun durante muitos anos, foi ordenado bispo de Langres.",(† 539/540)
2024-01-04,"Em Uzès, na Gália Narbonense, hoje também na França, São Ferréolo , bispo, que escreveu uma regra para monges e, tendo sido mandado para o exílio por inveja, três anos depois foi reconhecido como verdadeiro homem de Deus e voltou com grande alegria para junto do seu povo.",(† 581)
2024-01-04,"Em Meaux, na Nêustria, também na actual França, São Rigomero , bispo.",(† s. VI)
2024-01-04,"Em Reims, também na Nêustria, São Rigoberto , bispo, que, expulso, contra as normas canónicas, da sua sede episcopal por Carlos Martel, rei dos Francos, passou o resto da vida em obscura humildade.",(† c. 743)
2024-01-04,"Em Bruay-sur-l’Escaut, próximo de Valenciennes, no território de Artois da Nêustria, também na actual França, Santa Faraílde , viúva, que, obrigada a contrair matrimónio com um homem violento, abraçou até à sua velhice uma vida de oração e austeridade.",(† c. 745)
2024-01-04,"Em Foligno, na Úmbria, região da Itália, Santa Ângela , que, depois da morte do esposo e dos filhos, seguindo os passos de São Francisco, se consagrou inteiramente a Deus e escreveu num livro as experiências extraordinárias da sua vida mística.",(† 1309)
2024-01-04,"Em Santa Croce sull’Arno, na Etrúria, actualmente na Toscana, região da Itália, a Beata Cristiana (Oringa) Menabuoi , virgem, que fundou um mosteiro com a regra de Santo Agostinho.",(† 1310)
2024-01-04,"Em Durham, na Inglaterra, o Beato Tomás Plumtree , presbítero e mártir, que, no reinado de Isabel I, foi condenado à morte pela sua fidelidade à Igreja católica e, depois de ter afirmado corajosamente, diante do patíbulo, que preferia dar a vida a cair na apostasia, foi enforcado.",(† 1570)
2024-01-04,"Em Emmetsburg, cidade de Maryland, nos Estados Unidos da América do Norte, Santa Isabel Ana Seton , que, ao ficar viúva, professou a fé católica e se entregou com grande diligência à formação das adolescentes e ao cuidado das crianças pobres com a Congregação das Irmãs da Caridade de São José, por ela mesma fundada.",(† 1821)
2024-01-04,"Em Madrid, na Espanha, São Manuel González Garcia , bispo, que foi um exímio pastor segundo o coração do Senhor. Promoveu com a maior diligência a difusão do culto da Santíssima Eucaristia e fundou a Congregação das Irmãs Missionárias de Nazaré.",(† 1940)
2024-01-05,"Em Alexandria, no Egipto, Santa Sinclética , que, segundo a tradição, seguiu a vida eremítica.",(† s. IV)
2024-01-05,"Em Cartago, na actual Tunísia, São Deográcias , bispo, que resgatou muitos cativos trazidos da cidade de Roma pelos Vândalos, abrigando-os em duas amplas basílicas preparadas com pequenos leitos e esteiras.",(† 457/458)
2024-01-05,"Em Roma, a comemoração de Santa Emiliana , virgem, tia paterna de São Gregório Magno, que, pouco depois da sua irmã Tarsila, partiu deste mundo ao encontro do Senhor.",(† s. VI)
2024-01-05,"Na Bretanha Menor, região da actual França, São Convoião , abade, que fundou em Redon o mosteiro de São Salvador, onde, sob a sua direcção e seguindo a Regra de São Bento, floresceu uma pléiade de monges insignes pela sua grande piedade; destruído o seu cenóbio pelos Normandos, construiu um novo mosteiro em Saint-Maxent-de-Plélan, onde faleceu octogenário.",(† 868)
2024-01-05,"Em Londres, na Inglaterra, Santo Eduardo o Confessor , que, sendo rei dos Ingleses, muito estimado pelo povo por causa da sua exímia caridade, conseguiu estabelecer a paz no seu reino e promoveu tenazmente a comunhão com a Sé Apostólica.",(† 1066)
2024-01-05,"Próximo de Walkenberg, na região de Limburgo, na actual Holanda, São Gerlac , eremita, insigne pelo seu auxílio aos pobres.",(† 1165)
2024-01-05,"Em Tódi, na Úmbria, região da Itália, o Beato Rogério , presbítero da Ordem dos Frades Menores, que foi discípulo de São Francisco e seu fervoroso imitador.",(† 1237)
2024-01-05,"Em Angers, na França, os beatos Francisco Peltier , Tiago Ledoyen e Pedro Tessier , presbíteros e mártires, que durante a Revolução Francesa, foram degolados por permanecerem fiéis ao seu sacerdócio.",(† 1794)
2024-01-05,"Em Filadélfia, na Pensilvânia, nos Estados Unidos da América do Norte, São João Nepomuceno Neumann , bispo, da Congregação do Santíssimo Redentor, que prestou grande auxílio aos imigrantes pobres com meios materiais, providentes conselhos e admirável caridade e se dedicou com muita solicitude à formação cristã das crianças.",(† 1860)
2024-01-05,"Em Génova, na Itália, a Beata Maria Repetto , virgem, das Irmãs de Nossa Senhora do Refúgio no Monte Calvário, que, oculta aos olhos do mundo, foi notável na sua actividade para confortar os aflitos e fortalecer os vacilantes na esperança da salvação.",(† 1890)
2024-01-05,"Em Dublin, na Irlanda, São Carlos de Santo André (João André) Houben , presbítero da Congregação da Paixão, zeloso ministro do sacramento da Penitência.",(† 1893)
2024-01-05,"Em Jazlowice, cidade da Ucrânia, a Beata Marcelina Darowska , que, depois do falecimento do esposo e do filho primogénito, se consagrou ao Senhor e, sempre solícita pela dignidade da família, fundou a Congregação das Irmãs da Imaculada Virgem Santa Maria, destinada à formação das jovens.",(† 1911)
2024-01-05,"Em Spoleto, na Itália, o Beato Pedro Bonílli , presbítero, fundador do Instituto das Irmãs da Sagrada Família, destinado à educação e auxílio das jovens indigentes e dos órfãos.",(† 1935)
2024-01-05,"Em Saragoça, na Espanha, Santa Genoveva Torres Morales , virgem, que, tendo sofrido já desde a infância a aspereza da vida e a adversidade da doença, fundou o Instituto das Irmãs do Sacratíssimo Coração de Jesus e dos Anjos, destinada ao auxílio das mulheres.",(† 1956)
2024-01-06,"Solenidade da Epifania do Senhor , na qual se celebra a tríplice manifestação do nosso grande Deus e Senhor, Jesus Cristo: em Belém, o Menino Jesus foi adorado pelos magos; no Jordão, Jesus foi baptizado por João Baptista, ungido pelo Espírito Santo e chamado Filho de Deus Pai; em Caná da Galileia, numa festa de núpcias, transformando a água em vinho, Jesus manifestou a sua glória. Em Portugal esta solenidade celebra-se no domingo entre 2 e 8 deste mês.",
2024-01-06,"Em Antínoo, na Tebaida, região do Egipto, os santos Julião e Basilissa , mártires.",(† s. IV)
2024-01-06,"Em Nantes, na Bretanha Menor, região da actual França, São Félix , bispo, que deu testemunho insigne de zelo apostólico ao serviço dos seus concidadãos, construiu a igreja catedral e evangelizou com intenso ardor as populações rurais.",(† 582)
2024-01-06,"Em Würzburg, na Francónia, hoje na Alemanha, São Macário , abade, que foi o primeiro prelado do mosteiro dos Escoceses nesta cidade.",(† 1153)
2024-01-06,"Em Barcelona, na Catalunha, região da Espanha, São Raimundo de Penhaforte , cuja memória se celebra no dia seguinte.",(† 1275)
2024-01-06,"Em Famagusta, na ilha de Chipre, o passamento de São Pedro Tomás , bispo de Constantinopla, da Ordem dos Carmelitas, que exerceu a missão de legado do Romano Pontífice no Oriente.",(† 1366)
2024-01-06,"Em Fiésole, na Etrúria, actualmente na Toscana, região da Itália, Santo André Corsíni , bispo, da Ordem dos Carmelitas, que se tornou memorável pela sua vida austera e assídua meditação da Sagrada Escritura, reconstruiu os conventos devastados pela peste, governou sabiamente a sua Igreja, prestou auxílio aos pobres e reconciliou os inimigos.",(† 1373)
2024-01-06,"Em Valência, na Espanha, São João de Ribera , bispo, que exerceu também as funções de vice-rei. Dedicou-se intensamente ao culto da Santíssima Eucaristia, foi grande defensor da verdade católica e instruiu o seu povo com sólidos ensinamentos.",(† 1611)
2024-01-06,"Em Roma, São Carlos de Sezze , religioso da Ordem dos Frades Menores, que, obrigado desde a infância a procurar o seu sustento, induzia os companheiros à imitação de Cristo e dos Santos e, revestido finalmente com o hábito franciscano, como tanto desejava, se dedicou assiduamente à adoração do Santíssimo Sacramento.",(† 1670)
2024-01-06,"Em Casalmedinho, localidade próxima de Viseu, em Portugal, a Beata Rita Amada de Jesus (Rita Lopes Almeida), virgem, que, em tempos difíceis de perseguição religiosa e devassidão de costumes, entre grandes dificuldades e obstáculos fundou o Instituto Jesus Maria José, destinado a recolher e educar meninas pobres e abandonadas, promovendo também com grande diligência a dignidade integral das mulheres.",(† 1913)
2024-01-06,"Em Roma, Santa Rafaela Maria do Sagrado Coração (Rafaela Maria Porras Ayllón), virgem, que fundou a Congregação das Escravas do Sagrado Coração de Jesus e, considerada mentalmente incapacitada, passou santamente o resto da sua vida entregue ao sofrimento e à penitência.",(† 1925)
2024-01-06,"Em Montréal, no Quebec, região do Canadá, Santo André (Alfredo Bessette), religioso da Congregação da Santa Cruz, que edificou neste lugar um eminente santuário em honra de São José.",(† 1937)
2024-01-06,"Em Montcada, na Catalunha, região da Espanha, o Beato José Mariano dos Anjos (Mariano Alarcón Ruiz), presbítero da Ordem dos Carmelitas Descalços e mártir, que, durante a perseguição contra a Igreja, foi morto em ódio à religião.",(†1937)
2024-01-07,"São Raimundo de Penhaforte , presbítero da Ordem dos Pregadores, que foi exímio na ciência do Direito Canónico, escreveu obras de sólida doutrina e grande proveito sobre o sacramento da Penitência e, eleito mestre geral da sua Ordem, preparou para ela a redacção das novas Constituições. Em idade avançada, faleceu piedosamente em Barcelona, cidade da Espanha.",(† 1275)
2024-01-07,"Em Melitene, na Arménia, hoje Malatya, na Turquia, São Polieucto , mártir, que, sendo soldado, constrangido pelo edito do imperador Décio a sacrificar aos deuses, quebrou as estátuas; por isso suportou muitos tormentos e, finalmente degolado, foi baptizado com o derramamento do seu sange.",(† c. 250)
2024-01-07,"Em Nicomédia, na Bitínia, hoje Izmit, na Turquia, a paixão de São Luciano , presbítero e mártir da Igreja de Antioquia, célebre pela sua sabedoria e eloquência, que, levado ao tribunal para contínuas interrogações acompanhadas de torturas, persistiu intrepidamente em declarar-se cristão.",(† 312)
2024-01-07,"Em Passau, no Nórico, na actual Baviera, comemoração de São Valentim , bispo da Récia.",(† c. 450)
2024-01-07,"Em Pavia, na Ligúria, região da Itália, São Crispim , bispo.",(† 467)
2024-01-07,"Em Chur, no território da Helvécia, actual Suíça, São Valentiniano , bispo, que socorreu os pobres com os seus bens, pagou o resgate de cativos e distribuiu vestes aos mais necessitados.",(† 548)
2024-01-07,"Em Solignac, junto de Limoges, na Aquitânia, hoje na França, São Tilo , discípulo de Santo Elói, que foi artesão e monge.",(† c. 702)
2024-01-07,"Em Constantinopla, hoje Istambul, na Turquia, São Ciro , bispo, que, sendo monge na Paflagónia, foi elevado à sede de Constantinopla, da qual foi depois expulso, morrendo no exílio.",(† 714)
2024-01-07,"Em Le Mans, na Gália, hoje na França, Santo Alderico , bispo, que se dedicou com grande ardor ao culto de Deus e dos Santos.",(† 856)
