date,description,death_date
2024-01-01,"<p>Na Oitava do Natal de Nosso Senhor Jesus Cristo e dia da sua Circuncisão, a solenidade de <strong>Santa Maria, Mãe de Deus</strong>, que no Concílio de Éfeso os Padres aclamaram como Theotókos, porque nela o Verbo Se fez carne e habitou entre os homens o Filho de Deus, príncipe da paz, a quem foi dado o Nome que está acima de todos os nomes.</p>",
2024-01-01,"<p><strong>2.      </strong>Em Cesareia da Capadócia, hoje Kayseri, na Turquia, o sepultamento de São <strong>Basílio</strong>, bispo, cuja memória se celebra amanhã.</p>",(† c. 379)
2024-01-01,"<p><strong>3.      </strong>Na Campânia e nos Abruzos, regiões da Itália, a comemoração de São <strong>Justino</strong>, que é celebrado como bispo eminente pelo seu zelo e pela defesa dos cristãos.</p>",(c. s. IV)
2024-01-01,"<p><strong>4.      </strong>Em Roma, Santo <strong>Almáquio</strong>, que, opondo-se às lutas dos gladiadores, por ordem de Alípio, prefeito da Cidade, foi morto pelos próprios gladiadores e contado entre os mártires vencedores.</p>",(† 391)
2024-01-01,"<p><strong>5.       </strong>No monte Jura, na região da Gália Lionense, actualmente na França, a comemoração de Santo <strong>Eugendo</strong>, abade do mosteiro de Condat, que desde a adolescência viveu no mosteiro, onde promoveu com grande vigor a vida comum dos monges.</p>",(† 516)
2024-01-01,"<p><strong>6.       </strong>Em Ruspas, cidade da Bizacena, na actual Tunísia, São <strong>Fulgêncio</strong>, bispo, que, depois de ter sido procurador deste território, abraçou a vida monástica e foi eleito bispo. No tempo da perseguição dos Vândalos, por causa do seu zelo pela fé católica e eminente doutrina, sofreu muito da parte dos arianos e duas vezes foi desterrado pelo rei Trasimundo para a Sardenha. Tendo regressado à sua Igreja, dedicou o resto da sua vida a fortalecer os seus fiéis com a palavra da graça e da verdade.</p>",(† 533)
2024-01-01,"<p><strong>7*.     </strong>Em Vienne, na Borgonha, na actual França, São <strong>Claro</strong>, abade do mosteiro de São Marcelo, que deu aos monges exemplo insigne da perfeição religiosa.</p>",(† 660/670)
2024-01-01,"<p><strong>8*.     </strong>Em Troyes, cidade da Nêustria, também na actual França, São <strong>Frodoberto</strong>, fundador e primeiro abade do mosteiro de Moutier-la-Celle.</p>",(† c. 667)
2024-01-01,"<p><strong>9*.          </strong>No mosteiro de Fécamp, na Normandia, igualmente na actual França, o passamento de São <strong>Guilherme</strong>, abade de São Benigno de Dijon, que nos últimos tempos da sua vida orientou com firmeza e prudência muitos monges, distribuídos em quarenta mosteiros.</p>",(† 1031)
2024-01-01,"<p><strong>10.</strong>     Próximo de Sauvigny, cidade da Borgonha, também na actual França, o passamento de Santo <strong>Odilo</strong>, abade de Cluny, que foi sempre rigoroso para consigo mas benigno e misericordioso para com os outros, pacificou em nome de Deus os povos beligerantes e, em tempo de fome, socorreu com todos os meios os necessitados. Foi o primeiro a ordenar que se celebrasse nos seus mosteiros a comemoração de Todos os Fiéis Defuntos no dia seguinte à Solenidade de Todos os Santos.</p>",(† 1049)
2024-01-01,"<p><strong>11.     </strong>Em Jabloné, na Boémia, actualmente na Chéquia, Santa <strong>Zedislava</strong>, mãe de família, que prestou grande conforto aos aflitos.</p>",(† 1252)
2024-01-01,"<p><strong>12*.       </strong>Em Gualdo Cattáneo, na Úmbria, actualmente região da Itália, o Beato <strong>Hugolino</strong>, que viveu como eremita.</p>",(† s. XIV)
2024-01-01,"<p><strong>13.          </strong>Em Roma, São <strong>José Maria Tomási</strong>, presbítero da Ordem dos Clérigos Regrantes Teatinos e cardeal, que, desejando ardentemente a renovação do culto divino, dedicou quase toda a sua vida à investigação e publicação dos antigos textos e documentos da sagrada Liturgia, assim como à catequese das crianças.</p>",(† 1713)
2024-01-01,"<p><strong>14*.   </strong>Em Avrillé, próximo de Angers, na França, os irmãos beatos <strong>João</strong> e <strong>Renato Lego</strong>, presbíteros e mártires, que, durante a Revolução Francesa, por se terem recusado a prestar o infame juramento imposto ao clero, foram decapitados na guilhotina.</p>",(† 1794)
2024-01-01,"<p><strong>15.     </strong>Em Roma, São <strong>Vicente Maria Strámbi</strong>, bispo de Macerata e de Tolentino, da Congregação da Paixão, que governou fielmente as dioceses que lhe foram confiadas e, por perseverar na sua fidelidade ao Romano Pontífice, sofreu o exílio.</p>",(† 1824)
